Core, 0
Cumulative Cycles, 7610010             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.62812
Periodic Cycles, 3656666             
Periodic Instructions, 10000000            
Periodic IPC, 2.73473

ST_OP_INV_count,             0
ST_OP_INV_pct,        0.000
ST_OP_INV_total_count,             0
ST_OP_INV_total_pct,        0.000

ST_OP_NOP_count,        376243
ST_OP_NOP_pct,        2.464
ST_OP_NOP_total_count,        929743
ST_OP_NOP_total_pct,        2.927

ST_OP_CF_count,       2083246
ST_OP_CF_pct,       13.642
ST_OP_CF_total_count,       4342271
ST_OP_CF_total_pct,       13.669

ST_OP_MOV_count,       1485556
ST_OP_MOV_pct,        9.728
ST_OP_MOV_total_count,       3068848
ST_OP_MOV_total_pct,        9.661

ST_OP_CMOV_count,          3549
ST_OP_CMOV_pct,        0.023
ST_OP_CMOV_total_count,          7061
ST_OP_CMOV_total_pct,        0.022

ST_OP_LDA_count,        173374
ST_OP_LDA_pct,        1.135
ST_OP_LDA_total_count,        354211
ST_OP_LDA_total_pct,        1.115

ST_OP_ILD_count,       2419025
ST_OP_ILD_pct,       15.841
ST_OP_ILD_total_count,       5040828
ST_OP_ILD_total_pct,       15.869

ST_OP_IST_count,       1287911
ST_OP_IST_pct,        8.434
ST_OP_IST_total_count,       2678389
ST_OP_IST_total_pct,        8.432

ST_OP_IADD_count,       1924704
ST_OP_IADD_pct,       12.604
ST_OP_IADD_total_count,       3979255
ST_OP_IADD_total_pct,       12.527

ST_OP_IMUL_count,         33092
ST_OP_IMUL_pct,        0.217
ST_OP_IMUL_total_count,         67689
ST_OP_IMUL_total_pct,        0.213

ST_OP_IDIV_count,             0
ST_OP_IDIV_pct,        0.000
ST_OP_IDIV_total_count,             0
ST_OP_IDIV_total_pct,        0.000

ST_OP_ICMP_count,        581050
ST_OP_ICMP_pct,        3.805
ST_OP_ICMP_total_count,       1225715
ST_OP_ICMP_total_pct,        3.859

ST_OP_LOGIC_count,       1162678
ST_OP_LOGIC_pct,        7.614
ST_OP_LOGIC_total_count,       2406006
ST_OP_LOGIC_total_pct,        7.574

ST_OP_SHIFT_count,        105305
ST_OP_SHIFT_pct,        0.690
ST_OP_SHIFT_total_count,        226781
ST_OP_SHIFT_total_pct,        0.714

ST_OP_FLD_count,       1793090
ST_OP_FLD_pct,       11.742
ST_OP_FLD_total_count,       3684710
ST_OP_FLD_total_pct,       11.599

